id,delay_with_demand,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon,percent_synergy,"""","{""id"" : 0,""delay_with_demand"" : 871340604.3,""station_0"" : ""Jackson Hts - Roosevelt Av_0"",""station_1"" : ""Queensboro Plaza_0"",""station_0_lat"" : 40.746644,""station_0_lon"" : -73.891338,""station_1_lat"" : 40.750582,""station_1_lon"" : -73.940202,""delay_0"" : 301205900.1,""delay_1"" : 241567386,""sum"" : 542773286.1,""synergy"" : 328567318.2},",,,,,,,,,,,
0,931256033.8,Jackson Hts - Roosevelt Av_0,Broadway Jct_0,315917299.6,326405791.4,642323091,288932942.8,40.746644,-73.891338,40.678904,-73.9045792,44.98249352,"{""id"" : 0,","""delay_with_demand"" : 931256033.777,","""station_0"" : ""Jackson Hts - Roosevelt Av_0"",","""station_1"" : ""Broadway Jct_0"",","""delay_0"" : 315917299.582,","""delay_1"" : 326405791.399,","""sum"" : 642323090.981,","""synergy"" : 288932942.796,","""station_0_lat"" : 40.746644,","""station_0_lon"" : -73.891338,","""station_1_lat"" : 40.678904,","""station_1_lon"" : -73.9045792,","""percent_synergy"" : 44.9824935228},"
1,589497670.2,149 St - Grand Concourse_0,Broadway Jct_0,264481925.8,326405791.4,590887717.2,-1390047.044,40.81839833,-73.926929,40.678904,-73.9045792,-0.23524724,"{""id"" : 1,","""delay_with_demand"" : 589497670.155,","""station_0"" : ""149 St - Grand Concourse_0"",","""station_1"" : ""Broadway Jct_0"",","""delay_0"" : 264481925.8,","""delay_1"" : 326405791.399,","""sum"" : 590887717.199,","""synergy"" : -1390047.044,","""station_0_lat"" : 40.8183983333,","""station_0_lon"" : -73.926929,","""station_1_lat"" : 40.678904,","""station_1_lon"" : -73.9045792,","""percent_synergy"" : -0.235247239626},"
2,579460678.5,125 St_2,Broadway Jct_0,256294926.7,326405791.4,582700718.1,-3240039.662,40.804138,-73.937594,40.678904,-73.9045792,-0.556038385,"{""id"" : 2,","""delay_with_demand"" : 579460678.466,","""station_0"" : ""125 St_2"",","""station_1"" : ""Broadway Jct_0"",","""delay_0"" : 256294926.729,","""delay_1"" : 326405791.399,","""sum"" : 582700718.128,","""synergy"" : -3240039.662,","""station_0_lat"" : 40.804138,","""station_0_lon"" : -73.937594,","""station_1_lat"" : 40.678904,","""station_1_lon"" : -73.9045792,","""percent_synergy"" : -0.556038384921},"
3,446488221.6,Newkirk Plaza_0,Broadway Jct_0,123750250.4,326405791.4,450156041.8,-3667820.248,40.635082,-73.962793,40.678904,-73.9045792,-0.81478863,"{""id"" : 3,","""delay_with_demand"" : 446488221.554,","""station_0"" : ""Newkirk Plaza_0"",","""station_1"" : ""Broadway Jct_0"",","""delay_0"" : 123750250.403,","""delay_1"" : 326405791.399,","""sum"" : 450156041.802,","""synergy"" : -3667820.248,","""station_0_lat"" : 40.635082,","""station_0_lon"" : -73.962793,","""station_1_lat"" : 40.678904,","""station_1_lon"" : -73.9045792,","""percent_synergy"" : -0.814788630475},"
4,428332047.1,Essex St_0,Broadway Jct_0,38814251.23,326405791.4,365220042.6,63112004.47,40.718315,-73.987437,40.678904,-73.9045792,17.28054244,"{""id"" : 4,","""delay_with_demand"" : 428332047.094,","""station_0"" : ""Essex St_0"",","""station_1"" : ""Broadway Jct_0"",","""delay_0"" : 38814251.2265,","""delay_1"" : 326405791.399,","""sum"" : 365220042.625,","""synergy"" : 63112004.4685,","""station_0_lat"" : 40.718315,","""station_0_lon"" : -73.987437,","""station_1_lat"" : 40.678904,","""station_1_lon"" : -73.9045792,","""percent_synergy"" : 17.2805424409},"
5,406539660.7,Nostrand Av_1,Broadway Jct_0,71000339.24,326405791.4,397406130.6,9133530.08,40.680438,-73.950426,40.678904,-73.9045792,2.298286155,"{""id"" : 5,","""delay_with_demand"" : 406539660.723,","""station_0"" : ""Nostrand Av_1"",","""station_1"" : ""Broadway Jct_0"",","""delay_0"" : 71000339.244,","""delay_1"" : 326405791.399,","""sum"" : 397406130.643,","""synergy"" : 9133530.08,","""station_0_lat"" : 40.680438,","""station_0_lon"" : -73.950426,","""station_1_lat"" : 40.678904,","""station_1_lon"" : -73.9045792,","""percent_synergy"" : 2.29828615508},"
6,337835546.4,25 St_0,Broadway Jct_0,11718325.41,326405791.4,338124116.8,-288570.3881,40.660397,-73.998091,40.678904,-73.9045792,-0.085344515,"{""id"" : 6,","""delay_with_demand"" : 337835546.42,","""station_0"" : ""25 St_0"",","""station_1"" : ""Broadway Jct_0"",","""delay_0"" : 11718325.4091,","""delay_1"" : 326405791.399,","""sum"" : 338124116.808,","""synergy"" : -288570.3881,","""station_0_lat"" : 40.660397,","""station_0_lon"" : -73.998091,","""station_1_lat"" : 40.678904,","""station_1_lon"" : -73.9045792,","""percent_synergy"" : -0.0853445151514},"
7,919569270.7,Jackson Hts - Roosevelt Av_0,Queensboro Plaza_0,315917299.6,251635172.7,567552472.3,352016798.4,40.746644,-73.891338,40.750582,-73.940202,62.02365696,"{""id"" : 7,","""delay_with_demand"" : 919569270.694,","""station_0"" : ""Jackson Hts - Roosevelt Av_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 315917299.582,","""delay_1"" : 251635172.674,","""sum"" : 567552472.256,","""synergy"" : 352016798.438,","""station_0_lat"" : 40.746644,","""station_0_lon"" : -73.891338,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : 62.0236569561},"
8,512922907,149 St - Grand Concourse_0,Queensboro Plaza_0,264481925.8,251635172.7,516117098.5,-3194191.489,40.81839833,-73.926929,40.750582,-73.940202,-0.618888911,"{""id"" : 8,","""delay_with_demand"" : 512922906.985,","""station_0"" : ""149 St - Grand Concourse_0"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 264481925.8,","""delay_1"" : 251635172.674,","""sum"" : 516117098.474,","""synergy"" : -3194191.489,","""station_0_lat"" : 40.8183983333,","""station_0_lon"" : -73.926929,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -0.618888910762},"
9,502256812.7,125 St_2,Queensboro Plaza_0,256294926.7,251635172.7,507930099.4,-5673286.677,40.804138,-73.937594,40.750582,-73.940202,-1.116942407,"{""id"" : 9,","""delay_with_demand"" : 502256812.726,","""station_0"" : ""125 St_2"",","""station_1"" : ""Queensboro Plaza_0"",","""delay_0"" : 256294926.729,","""delay_1"" : 251635172.674,","""sum"" : 507930099.403,","""synergy"" : -5673286.677,","""station_0_lat"" : 40.804138,","""station_0_lon"" : -73.937594,","""station_1_lat"" : 40.750582,","""station_1_lon"" : -73.940202,","""percent_synergy"" : -1.11694240677},"
