,0,1,2
0,Grant Av_0,A57_A,"{'train': 'A', 'edge_type': 'waiting', 'weight': 174.19354838709674, 'stop_id': 'A57'}"
1,Atlantic Av - Barclays Ctr_0,235_4,"{'train': '4', 'edge_type': 'waiting', 'weight': 150.0, 'stop_id': '235'}"
2,Atlantic Av - Barclays Ctr_0,235_5,"{'train': '5', 'edge_type': 'waiting', 'weight': 192.85714285714286, 'stop_id': '235'}"
3,Atlantic Av - Barclays Ctr_0,235_2,"{'train': '2', 'edge_type': 'waiting', 'weight': 192.85714285714286, 'stop_id': '235'}"
4,Atlantic Av - Barclays Ctr_0,235_3,"{'train': '3', 'edge_type': 'waiting', 'weight': 207.69230769230771, 'stop_id': '235'}"
5,Atlantic Av - Barclays Ctr_0,D24_Q,"{'train': 'Q', 'edge_type': 'waiting', 'weight': 216.0, 'stop_id': 'D24'}"
6,Atlantic Av - Barclays Ctr_0,R31_D,"{'train': 'D', 'edge_type': 'waiting', 'weight': 229.78723404255317, 'stop_id': 'R31'}"
7,Atlantic Av - Barclays Ctr_0,R31_R,"{'train': 'R', 'edge_type': 'waiting', 'weight': 225.0, 'stop_id': 'R31'}"
8,Atlantic Av - Barclays Ctr_0,D24_B,"{'train': 'B', 'edge_type': 'waiting', 'weight': 251.16279069767444, 'stop_id': 'D24'}"
9,Atlantic Av - Barclays Ctr_0,R31_N,"{'train': 'N', 'edge_type': 'waiting', 'weight': 211.7647058823529, 'stop_id': 'R31'}"
10,136_2,136_2,"{'to_train': '2', 'from_train': '2', 'edge_type': 'transfer', 'weight': 180}"
11,136_2,136_1,"{'to_train': '1', 'from_train': '2', 'edge_type': 'transfer', 'weight': 180}"
12,136_2,136_5,"{'to_train': '5', 'from_train': '2', 'edge_type': 'transfer', 'weight': 180}"
13,136_1,136_2,"{'to_train': '2', 'from_train': '1', 'edge_type': 'transfer', 'weight': 180}"
14,136_1,136_1,"{'to_train': '1', 'from_train': '1', 'edge_type': 'transfer', 'weight': 180}"
15,136_1,136_5,"{'to_train': '5', 'from_train': '1', 'edge_type': 'transfer', 'weight': 180}"
16,136_1,Franklin St_0,"{'train': '1', 'edge_type': 'exit', 'weight': 0, 'stop_id': '136'}"
17,136_1,135_1,"{'train': '1', 'edge_type': 'train', 'weight': 60.0}"
18,136_1,137_1,"{'train': '1', 'edge_type': 'train', 'weight': 80.0}"
19,136_5,136_2,"{'to_train': '2', 'from_train': '5', 'edge_type': 'transfer', 'weight': 180}"
20,136_5,136_1,"{'to_train': '1', 'from_train': '5', 'edge_type': 'transfer', 'weight': 180}"
21,136_5,136_5,"{'to_train': '5', 'from_train': '5', 'edge_type': 'transfer', 'weight': 180}"
22,138_1,139_1,"{'train': '1', 'edge_type': 'train', 'weight': 90.0}"
23,138_1,138_1,"{'to_train': '1', 'from_train': '1', 'edge_type': 'transfer', 'weight': 180}"
24,138_1,137_1,"{'train': '1', 'edge_type': 'train', 'weight': 90.0}"
25,138_1,138_5,"{'to_train': '5', 'from_train': '1', 'edge_type': 'transfer', 'weight': 180}"
26,138_1,Cortlandt St_0,"{'train': '1', 'edge_type': 'exit', 'weight': 0, 'stop_id': '138'}"
27,138_5,138_1,"{'to_train': '1', 'from_train': '5', 'edge_type': 'transfer', 'weight': 180}"
28,138_5,138_5,"{'to_train': '5', 'from_train': '5', 'edge_type': 'transfer', 'weight': 180}"
29,Richmond Valley_0,S13_SI,"{'train': 'SI', 'edge_type': 'waiting', 'weight': 540.0, 'stop_id': 'S13'}"
30,723_7,631_5,"{'to_train': '5', 'from_train': '7', 'edge_type': 'transfer', 'weight': 180}"
31,723_7,723_7,"{'to_train': '7', 'from_train': '7', 'edge_type': 'transfer', 'weight': 180}"
32,723_7,901_GS,"{'to_train': 'GS', 'from_train': '7', 'edge_type': 'transfer', 'weight': 300}"
33,723_7,Grand Central - 42 St_0,"{'train': '7', 'edge_type': 'exit', 'weight': 0, 'stop_id': '723'}"
34,723_7,724_7,"{'train': '7', 'edge_type': 'train', 'weight': 90.0}"
35,723_7,631_6,"{'to_train': '6', 'from_train': '7', 'edge_type': 'transfer', 'weight': 180}"
36,723_7,631_4,"{'to_train': '4', 'from_train': '7', 'edge_type': 'transfer', 'weight': 180}"
37,723_7,721_7,"{'train': '7', 'edge_type': 'train', 'weight': 270.0}"
38,723_7,631_2,"{'to_train': '2', 'from_train': '7', 'edge_type': 'transfer', 'weight': 180}"
39,169 St_0,F02_F,"{'train': 'F', 'edge_type': 'waiting', 'weight': 158.82352941176467, 'stop_id': 'F02'}"
40,Neptune Av_0,F39_F,"{'train': 'F', 'edge_type': 'waiting', 'weight': 240.0, 'stop_id': 'F39'}"
41,D29_Q,D30_Q,"{'train': 'Q', 'edge_type': 'train', 'weight': 60.0}"
42,D29_Q,Beverley Rd_0,"{'train': 'Q', 'edge_type': 'exit', 'weight': 0, 'stop_id': 'D29'}"
43,D29_Q,D29_Q,"{'to_train': 'Q', 'from_train': 'Q', 'edge_type': 'transfer', 'weight': 180}"
44,D29_Q,D28_Q,"{'train': 'Q', 'edge_type': 'train', 'weight': 90.0}"
45,M06_M,M08_M,"{'train': 'M', 'edge_type': 'train', 'weight': 90.0}"
46,M06_M,M06_M,"{'to_train': 'M', 'from_train': 'M', 'edge_type': 'transfer', 'weight': 180}"
47,M06_M,M05_M,"{'train': 'M', 'edge_type': 'train', 'weight': 60.0}"
48,M06_M,Seneca Av_0,"{'train': 'M', 'edge_type': 'exit', 'weight': 0, 'stop_id': 'M06'}"
49,A43_C,A42_C,"{'train': 'C', 'edge_type': 'train', 'weight': 120.0}"
50,A43_C,A43_C,"{'to_train': 'C', 'from_train': 'C', 'edge_type': 'transfer', 'weight': 180}"
51,A43_C,A44_C,"{'train': 'C', 'edge_type': 'train', 'weight': 120.0}"
52,A43_C,A43_A,"{'to_train': 'A', 'from_train': 'C', 'edge_type': 'transfer', 'weight': 180}"
53,A43_C,Lafayette Av_0,"{'train': 'C', 'edge_type': 'exit', 'weight': 0, 'stop_id': 'A43'}"
54,M04_M,M01_M,"{'train': 'M', 'edge_type': 'train', 'weight': 120.0}"
55,M04_M,M04_M,"{'to_train': 'M', 'from_train': 'M', 'edge_type': 'transfer', 'weight': 180}"
56,M04_M,M05_M,"{'train': 'M', 'edge_type': 'train', 'weight': 90.0}"
57,M04_M,Fresh Pond Rd_0,"{'train': 'M', 'edge_type': 'exit', 'weight': 0, 'stop_id': 'M04'}"
58,Jamaica - 179 St_0,F01_F,"{'train': 'F', 'edge_type': 'waiting', 'weight': 163.63636363636363, 'stop_id': 'F01'}"
59,Jamaica - 179 St_0,F01_E,"{'train': 'E', 'edge_type': 'waiting', 'weight': 2700.0, 'stop_id': 'F01'}"
60,R30_B,R30_B,"{'to_train': 'B', 'from_train': 'B', 'edge_type': 'transfer', 'weight': 180}"
61,R30_B,R30_D,"{'to_train': 'D', 'from_train': 'B', 'edge_type': 'transfer', 'weight': 180}"
62,R30_B,R30_Q,"{'to_train': 'Q', 'from_train': 'B', 'edge_type': 'transfer', 'weight': 180}"
63,R30_B,R30_N,"{'to_train': 'N', 'from_train': 'B', 'edge_type': 'transfer', 'weight': 180}"
64,R30_B,R30_R,"{'to_train': 'R', 'from_train': 'B', 'edge_type': 'transfer', 'weight': 180}"
65,R30_B,D22_B,"{'train': 'B', 'edge_type': 'train', 'weight': 502.5}"
66,R30_B,DeKalb Av_0,"{'train': 'B', 'edge_type': 'exit', 'weight': 0, 'stop_id': 'R30'}"
67,R30_B,D24_B,"{'train': 'B', 'edge_type': 'train', 'weight': 90.0}"
68,R30_D,R30_B,"{'to_train': 'B', 'from_train': 'D', 'edge_type': 'transfer', 'weight': 180}"
69,R30_D,R30_Q,"{'to_train': 'Q', 'from_train': 'D', 'edge_type': 'transfer', 'weight': 180}"
